大考中心字彙表 LEVEL 1 (整理後，無KK音標)

a/an art. 一
monkey n. 猴子
month n. 月
moon n. 月亮
more adj. adv. pron. 更多(的)
morning n. 早晨
most adj. adv. pron. 最多(的)
mother n. 媽媽
mountain n. 山
mouse n. 老鼠
mouth n. 嘴巴
move(ment) vi. 動作
movie/(motion) picture/film 
cinema n. 電影
Mr./mister n. 先生
Mrs. n. 太太
Ms. n. 女士(婚姻狀況不明)
much adj. adv. pron. 許多(的)
mud n. 泥巴
mug n. 大杯子
music n. 音樂
must aux. 必須
my pron. 我的
name n. 名字
nation n. 國家
nature n. 大自然
near adj. adv. prep. 近(…的)
neck n. 脖子
need vt. 需要
never adv. 從不
new adj. 新的
news n. 新聞
newspaper n. 報紙
next adj. adv. prep. 緊接在後的
nice adj. 好的
night n. 晚上
nine n. 九
nineteen n. 十九
ninety n. 九十
no/nope adv. 不是
noise n. 噪音
noisy adj. 喧鬧的
noon n. 中午
nor conj.（ 用在
neither 之後）也不
north n. 北
nose n. 鼻子
not adv. 不
note n. 筆記
nothing n. 沒什麼
notice vt. 注意
November/Nov. n. 11 月
now adv. 現在
number n. 數字
nurse n. 護士
O.K./OK/okay adj. adv.可以
ocean n. 海洋
o’clock n. …點鐘
October/Oct. n. 十月
of prep. …的；屬於
off adj., prep., adv. 離開(…)
office n. 辦公室
officer n. 公務員
often adv. 常常
oil n. 油
old adj. 老的
on prep. 在…上
once adv. 一次；一旦
one n. 一
only adj. 唯一的
open adj. 打開的
or conj. 或者
orange n. 柳橙
order n. 順序
other adj. 其餘的
our(s) pron. 我們的
out prep. 在外
outside n. 外面
over prep. 在…之上 adv., adj. 在上方；結束的
own adj. 自己的 vt. 擁有
page n. 頁
paint vt. 塗
pair n. 一對
pants /trousers n. 褲子
paper n. 紙
parent(s) n. 雙親
park n. 公園 (2) vt. vi. 停車
part n. 一部分(2) vt.使分開
party n. 派對
pass vi. vt. 經過
past prep. 經過(2)n.往昔 adj.過去的
pay (ment) n., vi., vt. 支付；薪水
pen n. 筆
pencil n. 鉛筆
people n. 人們
perhaps adv. 大概
person n. 人
pet n. 寵物
piano n. 鋼琴
picture n. 圖像
pie n. 派
piece n. 一片
pig n. 豬
place n. 地方
plan n. 計畫
plant n.植物 vt.栽種 n. 工廠
play vi. 玩耍
player n. 遊戲的人
playground n. 操場
please vt. 使高興
pocket n. 口袋
poetry n. 詩(總稱)
point vi. 指向 (2) n.尖端
police n. 警察
policeman/cop n. 警察
pond n. 池塘
pool n. 水池
poor adj. 貧窮的
popcorn n. 爆米花
position n. 位置
possible adj. 可能的
power n. 力量
practice vt. 練習
prepare vt. 準備
pretty adj. 漂亮的 (2) adv.非常
price n. 價格
print vt. 印
problem n. 問題
prove vt. 證明
public adj. 公眾的
pull vt. 拉；拖
purple adj. 紫色的
purpose n. 目的
push vt. 推
put vt. 放
queen n. 女王
question n. 問題
quick adj. adv.快(的)
quiet adj. 安靜的
quite adv. 相當；很
race vt. vi. n.競賽 n. 種族
radio n. 收音機
railroad n. 鐵路
rain n. 雨
rainbow n. 彩虹
raise vt. 舉起
rat n. 老鼠
reach vi., vt. 抵達；伸出手或腳
read vt. 閱讀
ready adj. 準備好的
real adj. 真的：衷心的
reason n. 理由
receive vt. 接收
red adj. 紅色的
remember vi., vt. 記得
report n. 報告
rest vi. 休息
return vi., vt. 返回
rice n. 米
rich adj. 有錢的
ride vt. 騎乘
right n. adj.右邊(的) (2) n.正確
ring n. (1) v. n. 搖鈴；鳴響；(2) v. n. 打電話 n. 戒指
rise vi. 上升
river n. 河
road n. 道路
robot n. 機器人
rock n. 岩石
roll vi. 滾動
roof n. 屋頂
room n. 房間
rooster n. 公雞
root n. 根
rope n. 繩子
rose n. 玫瑰
round adj. 圓的
row n. 列；排 (2) vt.划船
rub vt. 摩擦
rubber n. 橡膠
rule n. 規則
run vi. 跑
sad adj. 悲哀的
safe adj. 安全的 (2) n.保險櫃
sail vi. vt. 航行
sale n. 賣
salt n. 鹽巴
same adj. 同樣的
sand n. 沙子
Saturday/Sat. n. 星期六
save vt. 挽救；儲存
saw n. 鋸子
say vt. 說
scare vt. 使恐懼
scene n. 場景
school n. 學校
sea n. 海洋
season n. 季節
seat n. 座位
second 
 n., adj. 第二(的) (2) n.秒
see vt. 看見
seed n. 種子
seem vi. 似乎
seesaw n. 蹺蹺板
self n. 自己
selfish adj. 自私的
sell vt. 賣
send vt. 發送：寄
sense n. 感官；感覺
sentence n. 句子
September/Sept. n. 九月
serve vt. 為…服務
service n. 服務
set vt. 設立 (2) n.一套
seven n. 七
seventeen n. 十七
seventy n. 七十
several adj. 幾個的
shake vt. 搖動
shall aux. 將：會
shape n. 形狀
shark n. 鯊魚
sharp adj. 尖銳的
she pron. (主格)她
sheep n. 綿羊
sheet n. 一張
shine vi. 發光 vt. 擦亮 n. 光亮
ship n. 船
shirt n. 襯衫
shoe(s) n. 鞋子
shop store n. 商店
shop n. 商店 (2) vi. 購物
shore n. 海濱
short adj. 短的；矮的
shot vt. 射擊
shoulder n. 肩膀
shout vi. 呼喊
show n., vt. 顯示；演出
shut vt. 關上
shy adj. 害羞的
sick adj. 生病的
side n. 邊；面
sight n. 視界
silly adj. 愚蠢的
silver n. 銀
simple adj. 簡單的
since prep. conj. 此後；因為
sing vi. 唱歌
singer n. 歌手
sir n. 先生
sister n. 姊妹
sit vi. 坐下
six n. 六
sixteen n. 十六
sixty n. 十六
size n. 尺寸
skill n. 技術
skin n. 皮膚
sky n. 天空
sleep vi. 睡覺
slow adj. 緩慢的
small adj. 小的
smart adj. 聰明的
smell n., vt. 聞
smile n., vi. 微笑
smoke n. 煙 vt. 抽(菸) vi. 冒煙
snake n. 蛇
snow n. 雪
so conj. 所以 (2) adv.非常
soap n. 肥皂
soda n. 蘇打
sofa n. 沙發
soft adj. 柔軟的
soil n. 土壤
some adj. 某些
someone pron. 某人
something pron. 某事
sometimes pron. 有時候
son n. 兒子
song n. 歌
soon adv. 不久
sorry adj. 感到難過的 int. 抱歉
soul n. 靈魂
sound n. 聲音
 vi., vt. (使) 響起 vi.聽起來
soup n. 湯
sour adj. 酸的
south n. 南
space n. 空間
speak vi. vt. 說話
special adj. 特別的
speech n. 演說
spell vt. 拼寫
spend vt. 花費
spoon n. 湯匙
sport n. 運動
spring n. (1) 春天
stair n. 階梯
stand vi. 站著
star n. 星星
start vi. vt. 開始
state n. 狀態；國家
state(ment) vt. (n.) 陳述
station n. 車站
stay vi. 停留
step n. 腳步
still adj. 靜止的 (2) adv.仍舊
stone n. 石頭
stop vt. 停止
store vt. 儲藏
story n. (1) 故事 (2) 樓層
strange adj. 奇怪的
street n. 街道
strong adj. 強壯的
student n. 學生
study n. 學習 (2) vt. vi. 研究
stupid adj. 愚笨的
such adj. 如此的
sugar n. 糖
summer n. 夏天
sun n. 太陽
Sunday/Sun. n. 星期日
super adj. 極度的
supper n. 晚餐
sure adj. 確信的 adv.當然
surprise vt. 使吃驚
sweet adj. 甜蜜的
swim vi. 游泳
table n. 桌子
tail n. 尾巴
take vt. 拿；取；握
tale n. 故事
talk vi. 講話
tall adj. 高大的
taste vi., vt. 嚐
taxicab/taxi/cab n. 計程車
tea n. 茶
teach vi., vt. 教授
teacher n. 教師
tell vt. 告訴；分辨
ten n. 十
than conj. 比 prep. 超過
thank vt. 感謝
that adj., pron. 那個
the art. 這(個)
their(s) pron. 他們的
them pron. 他們
then n., adv. 那時
there n., adv. (在)那裡 int. 好啦!
these adj., pron. 這些
they pron. 他們
thing n. 物品
think vi. vt. 想
third adj. 第三的
thirteen n. 十三
thirty n. 三十
this adj., pron. 這個
those adj., pron. 那些
though conj. 雖然 adv. 不過
thought n. 想法
thousand n. 千
three n. 三
throw vi., vt. 投；拋
Thursday/Thurs./Thur. n. 星期四
thus adv. 因此
ticket n. 票
tie vt. vi. 栓；繫 n. 領帶
tiger n. 虎
time n. 時間
tiny adj. 極小的
tire n. 輪胎 (2) vt.使疲倦
to prep. 向；往；到
today n. 今天
together adv. 一起
tomorrow n. 明天
tone n. 音調
tonight n. 今晚
too adv. 也
tool n. 工具
top n. 頂部
total adj. 總計的
touch vt. 觸摸
toward(s) prep. 朝向
town n. 城鎮
toy n. 玩具
train n. 火車 (2) vt.訓練
tree n. 樹
trip n. 旅行
trouble n. 麻煩
true adj. 真實的
try vi., vt. 嘗試
T-shirt n. 短袖圓領汗衫
Tuesday/ Tue. n. 星期二
tummy n. 肚子
turn vi. vt. 使轉動
twelve n. 十二
twenty n. 二十
twice adv. 兩次
two n. 二
uncle n. 叔叔；伯父；舅舅
under prep. 在…下面
understand vt. 理解
unit n. 單位
until/till prep. 直到…為止
up adv. 向上
upstairs adv. 在樓上
us pron. (受格)我們
use vt. 使用
useful adj. 有用的
vegetable n. 蔬菜
very adv. (1) 非常
view n. 視野
visit vt. 參觀
voice n. 聲音
wait vi. 等待
walk vi. vt. 走
wall n. 牆
want vt. 想要
war n. 戰爭
warm adj. 溫暖的
wash vt. 洗
waste vt. 浪費
watch n. 手錶；監視
 vt. 觀看 vi.注視
water n. 水
way n. 路
we pron. (主格)我們
weak adj. 虛弱的
wear vt. 穿
weather n. 天氣
wedding n. 婚禮
Wednesday/Wed. n 星期三
week n. 週
weekend n. 週末
weigh vt. 秤…的重量
weight n. 重量
welcome vt. 歡迎
well adv. 很好地 (2)n.井 adj.健康的
west n. 西
what pron. 什麼
when adv. conj. pron. 何時
where adv. conj. pron. 在哪裡
whether conj. 是否
which pron. 哪一個
while conj. 當…時；然而 (2) n.一會兒 (3) vt.消磨(時光)
white adj. 白色的
who pron. 誰
whole adj. 全部的
whom pron.(who 的受格)誰
whose pron. 誰的
why adv. 為什麼
wide adj. 寬闊的
wife n. 妻子
will n. 意志；遺囑 (2) aux.將
win vt. 贏
wind n. 風
window n. 窗戶
wine n. 紅酒
winter n. 冬天
wish vt. 但願
with prpe. 與…一起
woman n. 女人
wood(s) n. 木頭
word n. 字
work n. vi. vt.工作
worker n. 工人
world n. 世界
worm n. 蠕蟲
worry vt. 使擔心
worse adj. 更壞的
worst adj. 最壞的
write vt. 寫下
writer n. 作者
wrong adj. 錯誤的
yam/sweet potato n. 番薯
year n. 年
yellow adj. 黃色的
yes/yeah n., adv. 是
yesterday n. 昨天
yet adv. 然而；還(沒)
you pron. (主格)你
young adj. 年輕的
your(s) adj. 你的；你們的
yucky adj. 噁心的
